account_id,account_name,segment,industry,region,employee_count
A0082,Account 0082,SMB,Retail,East,80
A0083,Account 0083,SMB,Retail,Central,122
A0084,Account 0084,SMB,Technology,Central,91
A0085,Account 0085,SMB,Retail,Central,187
A0086,Account 0086,SMB,Logistics,Central,94
A0087,Account 0087,SMB,Retail,Central,109
A0088,Account 0088,Enterprise,Healthcare,East,2386
A0089,Account 0089,Enterprise,Technology,Central,37791
A0090,Account 0090,Mid-Market,Retail,Central,758
A0091,Account 0091,SMB,Logistics,Central,181
A0092,Account 0092,Mid-Market,Energy,West,1293
A0093,Account 0093,Enterprise,Healthcare,West,10893
A0094,Account 0094,Enterprise,Manufacturing,West,23453
A0095,Account 0095,SMB,Education,Central,107
A0096,Account 0096,SMB,Financial Services,Central,14
A0097,Account 0097,SMB,Education,West,176
A0098,Account 0098,SMB,Healthcare,West,61
A0099,Account 0099,Mid-Market,Retail,West,1571
A0100,Account 0100,Mid-Market,Retail,Central,724
A0101,Account 0101,SMB,Financial Services,West,89
A0102,Account 0102,SMB,Technology,East,183
A0103,Account 0103,Enterprise,Retail,West,43106
A0104,Account 0104,SMB,Technology,East,163
A0105,Account 0105,Mid-Market,Healthcare,Central,1077
A0106,Account 0106,SMB,Education,West,117
A0107,Account 0107,SMB,Education,East,127
A0108,Account 0108,SMB,Technology,East,147
A0109,Account 0109,SMB,Technology,Central,72
A0110,Account 0110,SMB,Energy,West,128
A0111,Account 0111,Mid-Market,Education,West,1942
A0112,Account 0112,SMB,Retail,Central,76
A0113,Account 0113,Enterprise,Technology,East,14521
A0114,Account 0114,SMB,Logistics,Central,152
A0115,Account 0115,Mid-Market,Energy,Central,390
A0116,Account 0116,SMB,Retail,Central,179
A0117,Account 0117,SMB,Education,Central,200
A0118,Account 0118,SMB,Energy,Central,88
A0119,Account 0119,SMB,Retail,Central,40
A0120,Account 0120,Enterprise,Manufacturing,West,33732
A0121,Account 0121,SMB,Technology,West,59
A0122,Account 0122,SMB,Technology,West,191
A0123,Account 0123,SMB,Healthcare,East,84
A0124,Account 0124,Mid-Market,Energy,West,1375
A0125,Account 0125,SMB,Energy,Central,57
A0126,Account 0126,Enterprise,Energy,West,34227
A0127,Account 0127,SMB,Healthcare,West,48
A0128,Account 0128,Enterprise,Financial Services,West,29274
A0129,Account 0129,Mid-Market,Retail,East,1122
A0130,Account 0130,SMB,Logistics,Central,155
A0131,Account 0131,Mid-Market,Financial Services,West,632
A0132,Account 0132,Mid-Market,Manufacturing,West,1330
A0133,Account 0133,SMB,Logistics,Central,186
A0134,Account 0134,SMB,Retail,Central,190
A0135,Account 0135,Enterprise,Financial Services,East,42963
A0136,Account 0136,Mid-Market,Retail,Central,1315
A0137,Account 0137,Mid-Market,Technology,West,322
A0138,Account 0138,Mid-Market,Technology,Central,1159
A0139,Account 0139,SMB,Logistics,Central,138
A0140,Account 0140,SMB,Healthcare,Central,198
A0141,Account 0141,SMB,Financial Services,West,182
A0142,Account 0142,Mid-Market,Healthcare,East,1380
A0143,Account 0143,Mid-Market,Manufacturing,Central,1534
A0144,Account 0144,Enterprise,Manufacturing,East,34225
A0145,Account 0145,Enterprise,Energy,Central,23040
A0146,Account 0146,Mid-Market,Manufacturing,Central,1620
A0147,Account 0147,SMB,Logistics,East,19
A0148,Account 0148,SMB,Education,West,113
A0149,Account 0149,Mid-Market,Healthcare,East,1146
A0150,Account 0150,SMB,Education,East,137
A0151,Account 0151,Mid-Market,Retail,Central,468
A0152,Account 0152,SMB,Energy,West,17
A0153,Account 0153,Mid-Market,Manufacturing,Central,228
A0154,Account 0154,SMB,Retail,West,128
A0155,Account 0155,Mid-Market,Energy,East,1242
A0156,Account 0156,SMB,Energy,Central,72
A0157,Account 0157,SMB,Retail,East,140
A0158,Account 0158,Enterprise,Technology,Central,35275
A0159,Account 0159,SMB,Healthcare,Central,195
A0160,Account 0160,Mid-Market,Energy,West,1303
A0161,Account 0161,SMB,Logistics,Central,92
A0162,Account 0162,Enterprise,Retail,East,28920
A0163,Account 0163,SMB,Energy,East,107
A0164,Account 0164,Mid-Market,Manufacturing,Central,458
A0165,Account 0165,Enterprise,Education,West,36468
A0166,Account 0166,Enterprise,Healthcare,East,44911
A0167,Account 0167,Enterprise,Financial Services,Central,42845
A0168,Account 0168,Mid-Market,Financial Services,Central,1959
A0169,Account 0169,SMB,Education,East,193
A0170,Account 0170,Enterprise,Healthcare,East,43363
A0171,Account 0171,Mid-Market,Technology,West,1088
A0172,Account 0172,Mid-Market,Financial Services,Central,1621
A0173,Account 0173,Enterprise,Healthcare,Central,25492
A0174,Account 0174,SMB,Manufacturing,West,145
A0175,Account 0175,Mid-Market,Manufacturing,West,361
A0176,Account 0176,Enterprise,Retail,Central,17216
A0177,Account 0177,SMB,Technology,Central,75
A0178,Account 0178,Enterprise,Energy,Central,12353
A0179,Account 0179,SMB,Education,East,86
A0180,Account 0180,Mid-Market,Energy,Central,987
A0181,Account 0181,SMB,Logistics,East,101
A0182,Account 0182,Enterprise,Technology,West,19988
A0183,Account 0183,SMB,Healthcare,East,200
A0184,Account 0184,Mid-Market,Retail,East,648
A0185,Account 0185,SMB,Technology,East,194
A0186,Account 0186,Mid-Market,Manufacturing,East,1485
A0187,Account 0187,SMB,Energy,West,158
A0188,Account 0188,SMB,Technology,Central,116
A0189,Account 0189,SMB,Education,East,138
A0190,Account 0190,SMB,Energy,Central,96
A0191,Account 0191,SMB,Financial Services,West,67
A0192,Account 0192,Mid-Market,Logistics,East,384
A0193,Account 0193,SMB,Financial Services,Central,104
A0194,Account 0194,SMB,Logistics,East,105
A0195,Account 0195,SMB,Healthcare,East,153
A0196,Account 0196,SMB,Financial Services,East,128
A0197,Account 0197,Mid-Market,Financial Services,West,276
A0198,Account 0198,Enterprise,Financial Services,West,10890
A0199,Account 0199,SMB,Education,East,200
A0200,Account 0200,SMB,Manufacturing,Central,177
A0201,Account 0201,Mid-Market,Technology,West,958
A0202,Account 0202,SMB,Retail,Central,35
A0203,Account 0203,SMB,Education,West,111
A0204,Account 0204,Enterprise,Energy,West,44054
A0205,Account 0205,Mid-Market,Healthcare,West,698
A0206,Account 0206,Mid-Market,Retail,West,624
A0207,Account 0207,SMB,Retail,Central,47
A0208,Account 0208,SMB,Manufacturing,West,148
A0209,Account 0209,SMB,Healthcare,West,13
A0210,Account 0210,Mid-Market,Healthcare,West,307
A0211,Account 0211,Mid-Market,Financial Services,East,1175
A0212,Account 0212,Mid-Market,Financial Services,Central,653
A0213,Account 0213,SMB,Technology,Central,174
A0214,Account 0214,Enterprise,Logistics,Central,34130
A0215,Account 0215,Mid-Market,Energy,West,859
A0216,Account 0216,SMB,Manufacturing,Central,169
A0217,Account 0217,SMB,Education,Central,162
A0218,Account 0218,SMB,Logistics,West,189
A0219,Account 0219,Mid-Market,Retail,Central,667
A0220,Account 0220,SMB,Energy,Central,116
A0221,Account 0221,SMB,Education,East,75
A0222,Account 0222,Mid-Market,Energy,West,1903
A0223,Account 0223,SMB,Financial Services,East,199
A0224,Account 0224,Mid-Market,Education,East,1041
A0225,Account 0225,Enterprise,Logistics,East,41348
A0226,Account 0226,SMB,Financial Services,East,139
A0227,Account 0227,Mid-Market,Retail,West,1931
A0228,Account 0228,SMB,Technology,East,67
A0229,Account 0229,Mid-Market,Healthcare,East,1898
A0230,Account 0230,SMB,Manufacturing,Central,189
A0231,Account 0231,Enterprise,Education,West,11388
A0232,Account 0232,Mid-Market,Logistics,West,1717
A0233,Account 0233,Enterprise,Financial Services,East,26654
A0234,Account 0234,SMB,Education,West,104
A0235,Account 0235,SMB,Financial Services,West,49
A0236,Account 0236,SMB,Financial Services,Central,123
A0237,Account 0237,SMB,Energy,Central,79
A0238,Account 0238,SMB,Logistics,West,82
A0239,Account 0239,Mid-Market,Technology,West,1009
A0240,Account 0240,SMB,Retail,Central,64
A0241,Account 0241,Mid-Market,Technology,Central,215
A0242,Account 0242,Mid-Market,Manufacturing,West,1290
A0243,Account 0243,SMB,Education,West,111
A0244,Account 0244,SMB,Energy,West,90
A0245,Account 0245,Mid-Market,Logistics,Central,1029
A0246,Account 0246,Enterprise,Manufacturing,East,47194
A0247,Account 0247,Enterprise,Financial Services,Central,30552
A0248,Account 0248,Mid-Market,Financial Services,Central,1727
A0249,Account 0249,SMB,Manufacturing,West,140
A0250,Account 0250,SMB,Retail,Central,99
A0251,Account 0251,Mid-Market,Retail,West,724
A0252,Account 0252,SMB,Manufacturing,East,29
A0253,Account 0253,SMB,Energy,East,154
A0254,Account 0254,Enterprise,Education,East,30820
A0255,Account 0255,SMB,Energy,East,87
A0256,Account 0256,Mid-Market,Education,East,835
A0257,Account 0257,SMB,Healthcare,Central,83
A0258,Account 0258,Enterprise,Financial Services,East,27197
A0259,Account 0259,SMB,Healthcare,Central,156
A0260,Account 0260,SMB,Energy,East,48
A0261,Account 0261,SMB,Education,East,31
A0262,Account 0262,SMB,Retail,East,122
A0263,Account 0263,SMB,Manufacturing,Central,105
A0264,Account 0264,SMB,Education,East,163
A0265,Account 0265,Mid-Market,Financial Services,Central,1342
A0266,Account 0266,SMB,Technology,East,178
A0267,Account 0267,SMB,Manufacturing,Central,89
A0268,Account 0268,Mid-Market,Manufacturing,East,373
A0269,Account 0269,Mid-Market,Education,West,1639
A0270,Account 0270,Enterprise,Financial Services,East,35324
A0271,Account 0271,SMB,Education,Central,56
A0272,Account 0272,Enterprise,Energy,West,12154
A0273,Account 0273,SMB,Financial Services,East,148
A0274,Account 0274,SMB,Education,East,43
A0275,Account 0275,SMB,Manufacturing,East,169
A0276,Account 0276,Mid-Market,Healthcare,Central,1585
A0277,Account 0277,SMB,Energy,East,82
A0278,Account 0278,SMB,Retail,Central,130
A0279,Account 0279,SMB,Energy,Central,82
A0280,Account 0280,SMB,Logistics,West,61
A0281,Account 0281,SMB,Technology,West,174
A0282,Account 0282,Mid-Market,Financial Services,East,1943
A0283,Account 0283,SMB,Manufacturing,Central,125
A0284,Account 0284,Mid-Market,Financial Services,West,915
A0285,Account 0285,SMB,Logistics,East,105
A0286,Account 0286,Enterprise,Education,West,8493
A0287,Account 0287,Mid-Market,Education,West,278
A0288,Account 0288,Enterprise,Energy,East,48238
A0289,Account 0289,SMB,Healthcare,West,14
A0290,Account 0290,Mid-Market,Logistics,West,686
A0291,Account 0291,SMB,Retail,Central,173
A0292,Account 0292,SMB,Financial Services,Central,162
A0293,Account 0293,Mid-Market,Retail,East,796
A0294,Account 0294,SMB,Education,West,156
A0295,Account 0295,Mid-Market,Financial Services,East,338
A0296,Account 0296,SMB,Healthcare,Central,130
A0297,Account 0297,SMB,Education,Central,14
A0298,Account 0298,SMB,Financial Services,East,198
A0299,Account 0299,SMB,Education,East,96
A0300,Account 0300,SMB,Energy,East,132
A0301,Account 0301,Mid-Market,Financial Services,East,275
A0302,Account 0302,SMB,Retail,West,90
A0303,Account 0303,SMB,Energy,Central,19
A0304,Account 0304,SMB,Education,West,177
A0305,Account 0305,SMB,Education,Central,112
A0306,Account 0306,Enterprise,Logistics,Central,47355
A0307,Account 0307,SMB,Technology,West,196
A0308,Account 0308,SMB,Manufacturing,East,85
A0309,Account 0309,SMB,Technology,Central,124
A0310,Account 0310,SMB,Energy,Central,124
A0311,Account 0311,Enterprise,Education,East,43908
A0312,Account 0312,Enterprise,Healthcare,West,28621
A0313,Account 0313,SMB,Manufacturing,West,46
A0314,Account 0314,Mid-Market,Energy,West,337
A0315,Account 0315,Mid-Market,Education,Central,1361
A0316,Account 0316,Mid-Market,Energy,Central,1109
A0317,Account 0317,Mid-Market,Education,Central,1530
A0318,Account 0318,SMB,Financial Services,West,198
A0319,Account 0319,SMB,Financial Services,Central,76
A0320,Account 0320,SMB,Technology,East,135
A0321,Account 0321,SMB,Financial Services,Central,54
A0322,Account 0322,Enterprise,Education,East,6255
A0323,Account 0323,SMB,Technology,Central,50
A0324,Account 0324,Enterprise,Manufacturing,Central,9953
A0325,Account 0325,Enterprise,Manufacturing,West,25651
A0326,Account 0326,Mid-Market,Education,Central,465
A0327,Account 0327,Enterprise,Financial Services,Central,49111
A0328,Account 0328,SMB,Logistics,Central,157
A0329,Account 0329,Enterprise,Financial Services,Central,35905
A0330,Account 0330,SMB,Manufacturing,West,120
A0331,Account 0331,Mid-Market,Manufacturing,Central,531
A0332,Account 0332,Enterprise,Retail,Central,7168
A0333,Account 0333,SMB,Technology,West,170
A0334,Account 0334,SMB,Manufacturing,East,158
A0335,Account 0335,Mid-Market,Education,East,1890
A0336,Account 0336,SMB,Technology,East,63
A0337,Account 0337,SMB,Healthcare,Central,170
A0338,Account 0338,Mid-Market,Technology,Central,1848
A0339,Account 0339,SMB,Energy,West,186
A0340,Account 0340,SMB,Energy,Central,62
A0341,Account 0341,SMB,Education,East,98
A0342,Account 0342,Mid-Market,Financial Services,Central,1155
A0343,Account 0343,SMB,Retail,West,34
A0344,Account 0344,Enterprise,Logistics,West,23458
A0345,Account 0345,Enterprise,Education,West,35733
A0346,Account 0346,SMB,Technology,Central,15
A0347,Account 0347,SMB,Retail,West,159
A0348,Account 0348,SMB,Energy,East,177
A0349,Account 0349,SMB,Healthcare,West,120
A0350,Account 0350,Mid-Market,Logistics,Central,1020
A0351,Account 0351,Mid-Market,Retail,Central,791
A0352,Account 0352,SMB,Energy,East,81
A0353,Account 0353,Mid-Market,Financial Services,West,1006
A0354,Account 0354,Mid-Market,Education,East,1746
A0355,Account 0355,SMB,Logistics,East,20
A0356,Account 0356,SMB,Education,Central,142
A0357,Account 0357,Mid-Market,Manufacturing,Central,852
A0358,Account 0358,SMB,Technology,East,96
A0359,Account 0359,SMB,Technology,Central,14
A0360,Account 0360,Mid-Market,Logistics,East,1831
A0361,Account 0361,Enterprise,Healthcare,East,44964
A0362,Account 0362,Mid-Market,Retail,East,1395
A0363,Account 0363,SMB,Logistics,West,184
A0364,Account 0364,Mid-Market,Financial Services,West,1103
A0365,Account 0365,SMB,Logistics,East,62
A0366,Account 0366,Mid-Market,Energy,East,327
A0367,Account 0367,SMB,Retail,East,93
A0368,Account 0368,SMB,Education,West,127
A0369,Account 0369,SMB,Technology,East,133
A0370,Account 0370,SMB,Technology,West,86
A0371,Account 0371,Mid-Market,Energy,Central,914
A0372,Account 0372,Enterprise,Technology,Central,46343
A0373,Account 0373,SMB,Logistics,Central,47
A0374,Account 0374,SMB,Financial Services,Central,123
A0375,Account 0375,Mid-Market,Retail,West,755
A0376,Account 0376,Mid-Market,Manufacturing,West,1717
A0377,Account 0377,SMB,Healthcare,East,145
A0378,Account 0378,SMB,Financial Services,Central,94
A0379,Account 0379,SMB,Manufacturing,West,150
A0380,Account 0380,Mid-Market,Energy,Central,608
A0381,Account 0381,SMB,Healthcare,West,176
A0382,Account 0382,SMB,Healthcare,West,116
A0383,Account 0383,Enterprise,Healthcare,Central,20970
A0384,Account 0384,Enterprise,Healthcare,Central,9032
A0385,Account 0385,Enterprise,Education,Central,37605
A0386,Account 0386,SMB,Manufacturing,East,129
A0387,Account 0387,Mid-Market,Education,West,1139
A0388,Account 0388,SMB,Manufacturing,West,198
A0389,Account 0389,Mid-Market,Retail,West,1953
A0390,Account 0390,Enterprise,Logistics,East,28269
A0391,Account 0391,Mid-Market,Manufacturing,West,862
A0392,Account 0392,SMB,Logistics,West,124
A0393,Account 0393,Enterprise,Technology,East,2749
A0394,Account 0394,SMB,Education,East,70
A0395,Account 0395,SMB,Technology,West,113
A0396,Account 0396,Enterprise,Technology,East,21335
A0397,Account 0397,SMB,Retail,West,44
A0398,Account 0398,SMB,Education,Central,189
A0399,Account 0399,Mid-Market,Retail,West,1745
A0400,Account 0400,Enterprise,Financial Services,East,48122
A0401,Account 0401,SMB,Financial Services,West,150
A0402,Account 0402,Mid-Market,Manufacturing,West,1949
A0403,Account 0403,SMB,Retail,East,159
A0404,Account 0404,Enterprise,Energy,West,35636
A0405,Account 0405,SMB,Healthcare,East,128
A0406,Account 0406,Mid-Market,Logistics,Central,1727
A0407,Account 0407,Mid-Market,Healthcare,Central,1634
A0408,Account 0408,SMB,Healthcare,West,130
A0409,Account 0409,SMB,Manufacturing,East,196
A0410,Account 0410,SMB,Logistics,Central,106
A0411,Account 0411,Mid-Market,Manufacturing,East,442
A0412,Account 0412,Enterprise,Logistics,East,16594
A0413,Account 0413,Mid-Market,Healthcare,Central,1579
A0414,Account 0414,SMB,Logistics,West,73
A0415,Account 0415,SMB,Retail,East,38
A0416,Account 0416,SMB,Healthcare,West,62
A0417,Account 0417,Mid-Market,Energy,East,1640
A0418,Account 0418,SMB,Healthcare,Central,122
A0419,Account 0419,SMB,Healthcare,West,138
A0420,Account 0420,Mid-Market,Education,East,1782
A0421,Account 0421,Mid-Market,Retail,Central,1552
A0422,Account 0422,SMB,Technology,Central,25
A0423,Account 0423,Enterprise,Manufacturing,East,38428
A0424,Account 0424,SMB,Education,East,181
A0425,Account 0425,SMB,Logistics,Central,48
A0426,Account 0426,SMB,Energy,West,67
A0427,Account 0427,SMB,Energy,West,153
A0428,Account 0428,Mid-Market,Manufacturing,Central,722
A0429,Account 0429,SMB,Financial Services,Central,104
A0430,Account 0430,Mid-Market,Retail,West,972
A0431,Account 0431,Mid-Market,Healthcare,West,1847
A0432,Account 0432,Mid-Market,Retail,Central,1980
A0433,Account 0433,SMB,Healthcare,West,58
A0434,Account 0434,Mid-Market,Energy,West,1437
A0435,Account 0435,SMB,Retail,East,92
A0436,Account 0436,SMB,Education,Central,76
A0437,Account 0437,Enterprise,Energy,West,22986
A0438,Account 0438,Enterprise,Education,Central,38865
A0439,Account 0439,Enterprise,Manufacturing,West,40275
A0440,Account 0440,Mid-Market,Logistics,Central,601
A0441,Account 0441,SMB,Retail,Central,150
A0442,Account 0442,SMB,Energy,East,174
A0443,Account 0443,SMB,Education,West,45
A0444,Account 0444,SMB,Healthcare,East,18
A0445,Account 0445,Enterprise,Healthcare,West,43333
A0446,Account 0446,SMB,Manufacturing,West,65
A0447,Account 0447,SMB,Energy,East,134
A0448,Account 0448,SMB,Logistics,West,14
A0449,Account 0449,SMB,Technology,West,138
A0450,Account 0450,Mid-Market,Manufacturing,West,1273
A0451,Account 0451,SMB,Technology,Central,78
A0452,Account 0452,SMB,Logistics,Central,154
A0453,Account 0453,SMB,Financial Services,East,176
A0454,Account 0454,SMB,Logistics,Central,151
A0455,Account 0455,Mid-Market,Manufacturing,West,1931
A0456,Account 0456,Mid-Market,Education,East,1281
A0457,Account 0457,SMB,Energy,Central,21
A0458,Account 0458,Enterprise,Healthcare,West,15576
A0459,Account 0459,Mid-Market,Logistics,West,532
A0460,Account 0460,SMB,Logistics,East,148
A0461,Account 0461,Mid-Market,Manufacturing,East,360
A0462,Account 0462,Mid-Market,Education,West,1095
A0463,Account 0463,Mid-Market,Education,East,1419
A0464,Account 0464,Enterprise,Education,West,31527
A0465,Account 0465,SMB,Education,East,106
A0466,Account 0466,Mid-Market,Logistics,West,804
A0467,Account 0467,Mid-Market,Financial Services,Central,978
A0468,Account 0468,Mid-Market,Manufacturing,East,848
A0469,Account 0469,SMB,Healthcare,Central,123
A0470,Account 0470,SMB,Financial Services,West,120
A0471,Account 0471,Mid-Market,Logistics,West,383
A0472,Account 0472,Mid-Market,Education,Central,797
A0473,Account 0473,SMB,Financial Services,East,153
A0474,Account 0474,SMB,Logistics,West,45
A0475,Account 0475,SMB,Manufacturing,West,52
A0476,Account 0476,SMB,Energy,West,102
A0477,Account 0477,Mid-Market,Energy,East,600
A0478,Account 0478,SMB,Technology,West,111
A0479,Account 0479,SMB,Education,Central,95
A0480,Account 0480,Enterprise,Manufacturing,Central,47566
A0481,Account 0481,SMB,Education,West,111
A0482,Account 0482,Mid-Market,Energy,East,867
A0483,Account 0483,SMB,Logistics,Central,39
A0484,Account 0484,Mid-Market,Manufacturing,East,255
A0485,Account 0485,SMB,Retail,Central,84
A0486,Account 0486,SMB,Logistics,East,137
A0487,Account 0487,SMB,Technology,East,49
A0488,Account 0488,Mid-Market,Financial Services,Central,1181
A0489,Account 0489,SMB,Logistics,East,19
A0490,Account 0490,Mid-Market,Financial Services,West,1546
A0491,Account 0491,SMB,Healthcare,East,175
A0492,Account 0492,SMB,Education,Central,37
A0493,Account 0493,SMB,Retail,Central,105
A0494,Account 0494,Mid-Market,Manufacturing,Central,1188
A0495,Account 0495,SMB,Financial Services,West,196
A0496,Account 0496,SMB,Energy,West,143
A0497,Account 0497,SMB,Energy,East,188
A0498,Account 0498,SMB,Healthcare,East,39
A0499,Account 0499,Mid-Market,Manufacturing,East,1256
A0500,Account 0500,Mid-Market,Education,East,1146
A0501,Account 0501,Mid-Market,Manufacturing,West,1546
A0502,Account 0502,SMB,Retail,Central,161
A0503,Account 0503,SMB,Retail,West,81
A0504,Account 0504,Mid-Market,Financial Services,East,1837
A0505,Account 0505,SMB,Education,West,127
A0506,Account 0506,Mid-Market,Energy,East,841
A0507,Account 0507,SMB,Logistics,East,39
A0508,Account 0508,Mid-Market,Manufacturing,East,1839
A0509,Account 0509,Enterprise,Financial Services,East,9724
A0510,Account 0510,SMB,Financial Services,West,105
A0511,Account 0511,SMB,Logistics,East,45
A0512,Account 0512,SMB,Energy,East,147
A0513,Account 0513,Enterprise,Manufacturing,East,20929
A0514,Account 0514,SMB,Education,Central,168
A0515,Account 0515,Enterprise,Energy,West,27162
A0516,Account 0516,Enterprise,Energy,Central,29238
A0517,Account 0517,Mid-Market,Energy,Central,369
A0518,Account 0518,SMB,Retail,Central,18
A0519,Account 0519,SMB,Manufacturing,Central,154
A0520,Account 0520,SMB,Financial Services,East,39
A0521,Account 0521,Mid-Market,Education,East,1756
A0522,Account 0522,SMB,Retail,Central,36
A0523,Account 0523,Mid-Market,Technology,West,738
A0524,Account 0524,Enterprise,Financial Services,Central,17528
A0525,Account 0525,SMB,Education,East,166
A0526,Account 0526,SMB,Manufacturing,West,62
A0527,Account 0527,Mid-Market,Technology,East,544
A0528,Account 0528,Enterprise,Technology,Central,35712
A0529,Account 0529,Enterprise,Financial Services,West,20174
A0530,Account 0530,Enterprise,Manufacturing,East,11584
A0531,Account 0531,Mid-Market,Retail,East,1202
A0532,Account 0532,Mid-Market,Technology,East,968
A0533,Account 0533,SMB,Financial Services,Central,141
A0534,Account 0534,Mid-Market,Education,Central,870
A0535,Account 0535,SMB,Financial Services,East,127
A0536,Account 0536,Mid-Market,Financial Services,East,646
A0537,Account 0537,Mid-Market,Energy,Central,1896
A0538,Account 0538,SMB,Manufacturing,East,134
A0539,Account 0539,Enterprise,Healthcare,West,32119
A0540,Account 0540,SMB,Manufacturing,Central,126
A0541,Account 0541,SMB,Manufacturing,East,87
A0542,Account 0542,SMB,Education,Central,31
A0543,Account 0543,Enterprise,Manufacturing,West,22021
A0544,Account 0544,Mid-Market,Retail,Central,386
A0545,Account 0545,SMB,Retail,Central,29
A0546,Account 0546,SMB,Energy,West,12
A0547,Account 0547,Mid-Market,Logistics,East,1178
A0548,Account 0548,SMB,Financial Services,East,36
A0549,Account 0549,SMB,Technology,West,107
A0550,Account 0550,Mid-Market,Manufacturing,West,1353
A0551,Account 0551,Mid-Market,Manufacturing,Central,1679
A0552,Account 0552,Mid-Market,Manufacturing,Central,1606
A0553,Account 0553,Enterprise,Financial Services,West,10071
A0554,Account 0554,Mid-Market,Logistics,Central,844
A0555,Account 0555,SMB,Financial Services,West,151
A0556,Account 0556,Mid-Market,Technology,East,1936
A0557,Account 0557,Enterprise,Retail,East,14363
A0558,Account 0558,Mid-Market,Technology,East,1805
A0559,Account 0559,SMB,Financial Services,West,137
A0560,Account 0560,SMB,Healthcare,Central,91
A0561,Account 0561,Enterprise,Logistics,Central,13322
A0562,Account 0562,Mid-Market,Financial Services,West,338
A0563,Account 0563,SMB,Healthcare,West,111
A0564,Account 0564,Mid-Market,Logistics,Central,1023
