opportunity_id,account_id,rep_id,lead_source,stage,amount,created_date,close_date,fiscal_quarter,is_won,is_closed
O00038,A0492,R009,Referral,Closed Lost,6100.0,2024-04-09,2024-04-24,2024-Q2,false,true
O00039,A0485,R005,Inbound,Closed Lost,10100.0,2024-11-11,2024-12-20,2024-Q4,false,true
O00040,A0558,R013,Outbound,Closed Lost,72900.0,2024-07-08,2024-10-08,2024-Q4,false,true
O00041,A0270,R020,Inbound,Closed Lost,152400.0,2025-04-21,2025-09-25,2025-Q3,false,true
O00042,A0100,R003,Inbound,Closed Lost,68100.0,2025-11-15,2026-02-12,2026-Q1,false,true
O00043,A0063,R015,Referral,Closed Lost,17500.0,2025-06-19,2025-07-29,2025-Q3,false,true
O00044,A0587,R009,Partner,Closed Lost,4200.0,2025-05-02,2025-06-04,2025-Q2,false,true
O00045,A0515,R017,Referral,Closed Lost,135300.0,2024-05-03,2024-11-23,2024-Q4,false,true
O00046,A0198,R017,Inbound,Closed Lost,105100.0,2024-02-13,2024-08-29,2024-Q3,false,true
O00047,A0152,R022,Inbound,Closed Lost,16700.0,2024-09-21,2024-10-25,2024-Q4,false,true
O00048,A0398,R021,Outbound,Closed Won,7900.0,2025-02-10,2025-03-31,2025-Q1,true,true
O00049,A0013,R022,Inbound,Closed Won,14700.0,2025-08-24,2025-10-10,2025-Q4,true,true
O00050,A0581,R022,Inbound,Closed Lost,16900.0,2025-08-19,2025-09-08,2025-Q3,false,true
O00051,A0293,R016,Outbound,Closed Lost,34400.0,2024-12-18,2025-03-25,2025-Q1,false,true
O00052,A0485,R002,Partner,Closed Lost,9000.0,2024-06-25,2024-07-26,2024-Q3,false,true
O00053,A0412,R017,Outbound,Closed Won,301000.0,2025-02-09,2025-08-02,2025-Q3,true,true
O00054,A0276,R010,Inbound,Closed Lost,68700.0,2024-01-21,2024-04-18,2024-Q2,false,true
O00055,A0504,R023,Outbound,Closed Lost,26300.0,2024-04-10,2024-06-23,2024-Q2,false,true
O00056,A0329,R020,Event,Closed Lost,140100.0,2025-03-02,2025-06-22,2025-Q2,false,true
O00057,A0497,R021,Inbound,Closed Won,10700.0,2025-01-17,2025-02-03,2025-Q1,true,true
O00058,A0519,R015,Inbound,Closed Won,16200.0,2024-05-18,2024-07-04,2024-Q3,true,true
O00059,A0206,R001,Partner,Closed Lost,46300.0,2024-09-12,2024-10-31,2024-Q4,false,true
O00060,A0281,R012,Partner,Closed Lost,9000.0,2025-04-20,2025-06-05,2025-Q2,false,true
O00061,A0248,R010,Outbound,Closed Lost,29000.0,2025-05-15,2025-08-25,2025-Q3,false,true
O00062,A0359,R012,Inbound,Closed Lost,14200.0,2024-06-16,2024-07-16,2024-Q3,false,true
O00063,A0396,R017,Inbound,Closed Lost,329500.0,2024-06-15,2025-02-06,2025-Q1,false,true
O00064,A0231,R017,Referral,Closed Lost,244200.0,2024-10-02,2025-04-14,2025-Q2,false,true
O00065,A0010,R018,Inbound,Closed Lost,5600.0,2024-05-15,2024-07-09,2024-Q3,false,true
O00066,A0313,R024,Outbound,Closed Lost,16400.0,2024-10-08,2024-11-18,2024-Q4,false,true
O00067,A0224,R014,Inbound,Closed Lost,69100.0,2024-11-05,2025-02-24,2025-Q1,false,true
O00068,A0524,R020,Partner,Negotiation,175500.0,2025-07-28,,2025-Q3,,false
O00069,A0284,R007,Event,Prospecting,29700.0,2025-11-02,,2025-Q4,,false
O00070,A0414,R024,Outbound,Closed Won,5100.0,2024-11-23,2025-01-19,2025-Q1,true,true
O00071,A0303,R011,Partner,Closed Won,8800.0,2025-03-04,2025-04-12,2025-Q2,true,true
O00072,A0586,R017,Outbound,Closed Lost,299600.0,2024-12-17,2025-05-12,2025-Q2,false,true
O00073,A0368,R021,Inbound,Closed Lost,15600.0,2024-11-03,2024-11-27,2024-Q4,false,true
O00074,A0100,R014,Referral,Closed Lost,63000.0,2024-05-11,2024-07-28,2024-Q3,false,true
O00075,A0344,R017,Outbound,Closed Lost,151500.0,2024-08-15,2025-02-11,2025-Q1,false,true
O00076,A0340,R012,Outbound,Closed Lost,7400.0,2024-09-23,2024-11-13,2024-Q4,false,true
O00077,A0598,R022,Inbound,Closed Won,10100.0,2025-09-27,2025-10-15,2025-Q4,true,true
O00078,A0391,R016,Inbound,Closed Lost,21400.0,2024-11-01,2025-02-06,2025-Q1,false,true
O00079,A0206,R010,Inbound,Closed Lost,73400.0,2025-02-23,2025-06-20,2025-Q2,false,true
O00080,A0185,R005,Partner,Closed Won,12500.0,2025-05-14,2025-06-18,2025-Q2,true,true
O00081,A0005,R020,Event,Closed Won,323600.0,2024-10-07,2025-02-27,2025-Q1,true,true
O00082,A0502,R005,Outbound,Closed Lost,9500.0,2024-05-12,2024-07-04,2024-Q3,false,true
O00083,A0489,R015,Referral,Closed Lost,11000.0,2024-01-05,2024-01-21,2024-Q1,false,true
O00084,A0330,R021,Inbound,Closed Lost,13200.0,2024-07-14,2024-07-29,2024-Q3,false,true
O00085,A0353,R007,Inbound,Closed Lost,41800.0,2024-05-12,2024-07-09,2024-Q3,false,true
O00086,A0047,R011,Inbound,Closed Lost,13900.0,2024-10-24,2024-12-06,2024-Q4,false,true
O00087,A0138,R010,Referral,Closed Won,64500.0,2025-05-16,2025-08-14,2025-Q3,true,true
O00088,A0414,R002,Partner,Closed Won,13900.0,2024-08-21,2024-09-18,2024-Q3,true,true
O00089,A0517,R004,Outbound,Closed Lost,62100.0,2024-05-06,2024-08-05,2024-Q3,false,true
O00090,A0262,R021,Inbound,Closed Won,11900.0,2025-09-30,2025-10-17,2025-Q4,true,true
O00091,A0021,R002,Inbound,Closed Won,9700.0,2024-04-28,2024-06-07,2024-Q2,true,true
O00092,A0157,R009,Partner,Closed Lost,7500.0,2025-10-07,2025-10-21,2025-Q4,false,true
O00093,A0277,R022,Inbound,Closed Lost,5100.0,2025-09-12,2025-11-09,2025-Q4,false,true
O00094,A0121,R011,Event,Closed Lost,10500.0,2024-04-26,2024-05-16,2024-Q2,false,true
O00095,A0536,R006,Outbound,Closed Won,36300.0,2025-01-01,2025-04-08,2025-Q2,true,true
O00096,A0213,R018,Referral,Closed Lost,3000.0,2024-12-04,2025-01-02,2025-Q1,false,true
O00097,A0588,R023,Inbound,Closed Lost,76900.0,2025-05-20,2025-07-23,2025-Q3,false,true
O00098,A0104,R011,Inbound,Closed Lost,9900.0,2025-10-21,2025-11-18,2025-Q4,false,true
O00099,A0052,R005,Partner,Closed Lost,15800.0,2024-06-27,2024-07-13,2024-Q3,false,true
O00100,A0437,R017,Partner,Closed Won,83100.0,2024-04-07,2024-07-17,2024-Q3,true,true
O00101,A0337,R012,Outbound,Closed Lost,7000.0,2025-03-24,2025-05-16,2025-Q2,false,true
O00102,A0351,R004,Event,Closed Lost,42800.0,2024-04-26,2024-07-31,2024-Q3,false,true
O00103,A0490,R013,Inbound,Negotiation,25000.0,2025-10-26,,2025-Q4,,false
O00104,A0427,R022,Outbound,Closed Won,13200.0,2025-05-09,2025-06-28,2025-Q2,true,true
O00105,A0368,R022,Event,Closed Lost,16200.0,2024-01-30,2024-03-27,2024-Q1,false,true
O00106,A0495,R018,Partner,Closed Won,9600.0,2024-04-25,2024-06-04,2024-Q2,true,true
O00107,A0013,R024,Referral,Closed Won,13900.0,2025-06-21,2025-08-10,2025-Q3,true,true
O00108,A0347,R021,Partner,Closed Won,13500.0,2025-06-19,2025-08-16,2025-Q3,true,true
O00109,A0255,R018,Event,Closed Lost,13100.0,2024-12-20,2025-02-14,2025-Q1,false,true
O00110,A0572,R022,Event,Closed Won,12700.0,2024-02-25,2024-03-10,2024-Q1,true,true
O00111,A0508,R004,Inbound,Closed Lost,37900.0,2024-03-17,2024-07-02,2024-Q3,false,true
O00112,A0520,R009,Inbound,Closed Lost,8700.0,2025-07-17,2025-09-10,2025-Q3,false,true
O00113,A0455,R019,Inbound,Closed Lost,71100.0,2025-04-03,2025-05-29,2025-Q2,false,true
O00114,A0510,R024,Outbound,Closed Won,9100.0,2024-01-19,2024-02-08,2024-Q1,true,true
O00115,A0094,R020,Outbound,Closed Lost,146200.0,2025-06-04,2026-01-23,2026-Q1,false,true
O00116,A0056,R017,Outbound,Closed Lost,259200.0,2025-04-10,2025-10-01,2025-Q4,false,true
O00117,A0373,R018,Outbound,Closed Won,14400.0,2024-04-26,2024-05-16,2024-Q2,true,true
O00118,A0299,R021,Inbound,Closed Won,13500.0,2025-06-18,2025-07-25,2025-Q3,true,true
O00119,A0144,R020,Referral,Closed Won,275500.0,2024-04-19,2024-09-21,2024-Q3,true,true
O00120,A0403,R009,Outbound,Closed Won,13800.0,2025-04-13,2025-05-09,2025-Q2,true,true
O00121,A0127,R018,Referral,Closed Lost,11800.0,2025-04-13,2025-06-08,2025-Q2,false,true
O00122,A0005,R017,Referral,Closed Lost,348400.0,2025-07-20,2026-02-05,2026-Q1,false,true
O00123,A0182,R017,Event,Closed Lost,204000.0,2024-05-11,2024-09-04,2024-Q3,false,true
O00124,A0517,R013,Referral,Closed Lost,35000.0,2025-03-04,2025-05-19,2025-Q2,false,true
O00125,A0464,R017,Outbound,Closed Lost,272800.0,2024-05-21,2024-12-02,2024-Q4,false,true
O00126,A0561,R020,Inbound,Closed Lost,144300.0,2025-07-20,2025-12-12,2025-Q4,false,true
O00127,A0354,R023,Inbound,Closed Lost,49200.0,2024-05-15,2024-07-21,2024-Q3,false,true
O00128,A0119,R012,Partner,Closed Lost,11700.0,2025-07-29,2025-09-11,2025-Q3,false,true
O00129,A0547,R007,Inbound,Closed Won,50400.0,2025-03-08,2025-04-23,2025-Q2,true,true
O00130,A0058,R009,Inbound,Closed Lost,17800.0,2024-09-30,2024-10-24,2024-Q4,false,true
O00131,A0064,R011,Inbound,Closed Lost,3500.0,2024-07-27,2024-09-13,2024-Q3,false,true
O00132,A0576,R017,Partner,Closed Lost,204400.0,2025-10-24,2026-06-14,2026-Q2,false,true
O00133,A0049,R015,Inbound,Closed Lost,17400.0,2025-01-31,2025-03-12,2025-Q1,false,true
O00134,A0566,R002,Event,Closed Lost,6000.0,2024-01-14,2024-02-13,2024-Q1,false,true
O00135,A0454,R009,Outbound,Closed Lost,13600.0,2025-10-10,2025-12-08,2025-Q4,false,true
O00136,A0202,R009,Inbound,Closed Lost,5700.0,2024-10-28,2024-12-09,2024-Q4,false,true
O00137,A0178,R017,Inbound,Closed Lost,217100.0,2025-01-21,2025-05-01,2025-Q2,false,true
O00138,A0599,R011,Inbound,Closed Lost,10000.0,2024-01-06,2024-02-10,2024-Q1,false,true
O00139,A0331,R019,Outbound,Closed Lost,48400.0,2024-02-22,2024-05-15,2024-Q2,false,true
O00140,A0326,R016,Inbound,Closed Lost,50300.0,2024-08-13,2024-10-20,2024-Q4,false,true
O00141,A0557,R020,Inbound,Closed Lost,150800.0,2024-04-04,2024-09-30,2024-Q3,false,true
O00142,A0370,R011,Event,Closed Lost,11000.0,2024-08-11,2024-10-03,2024-Q4,false,true
O00143,A0010,R005,Partner,Closed Lost,9700.0,2025-11-15,2025-12-21,2025-Q4,false,true
O00144,A0041,R024,Outbound,Closed Lost,16700.0,2024-11-24,2025-01-01,2025-Q1,false,true
O00145,A0554,R007,Event,Closed Lost,69000.0,2024-01-26,2024-05-16,2024-Q2,false,true
O00146,A0457,R018,Outbound,Closed Won,16500.0,2024-02-14,2024-03-17,2024-Q1,true,true
O00147,A0099,R004,Partner,Closed Won,18500.0,2025-07-04,2025-10-25,2025-Q4,true,true
O00148,A0219,R023,Event,Closed Lost,30700.0,2025-03-10,2025-05-07,2025-Q2,false,true
O00149,A0446,R024,Inbound,Closed Lost,5300.0,2024-03-14,2024-05-10,2024-Q2,false,true
O00150,A0090,R003,Outbound,Closed Lost,67200.0,2024-02-25,2024-05-02,2024-Q2,false,true
O00151,A0234,R011,Inbound,Closed Lost,9800.0,2025-02-21,2025-03-31,2025-Q1,false,true
O00152,A0399,R023,Inbound,Closed Lost,18400.0,2024-05-01,2024-08-22,2024-Q3,false,true
O00153,A0600,R002,Event,Closed Won,16900.0,2024-03-15,2024-04-20,2024-Q2,true,true
O00154,A0309,R022,Outbound,Closed Lost,14500.0,2024-03-29,2024-04-30,2024-Q2,false,true
O00155,A0032,R018,Event,Closed Lost,6300.0,2024-06-09,2024-07-27,2024-Q3,false,true
O00156,A0559,R011,Referral,Closed Lost,7500.0,2025-10-11,2025-11-03,2025-Q4,false,true
O00157,A0383,R017,Outbound,Closed Won,125200.0,2025-07-20,2026-03-09,2026-Q1,true,true
O00158,A0561,R017,Outbound,Closed Lost,319500.0,2024-11-08,2025-03-31,2025-Q1,false,true
O00159,A0423,R017,Inbound,Closed Lost,150700.0,2024-06-13,2024-10-28,2024-Q4,false,true
O00160,A0186,R023,Referral,Closed Lost,70800.0,2025-08-03,2025-09-23,2025-Q3,false,true
O00161,A0473,R024,Inbound,Closed Won,7400.0,2025-07-16,2025-08-03,2025-Q3,true,true
O00162,A0595,R020,Inbound,Closed Lost,121000.0,2024-12-04,2025-06-03,2025-Q2,false,true
O00163,A0072,R009,Inbound,Closed Lost,9800.0,2024-11-21,2025-01-05,2025-Q1,false,true
O00164,A0599,R008,Outbound,Closed Won,8500.0,2025-08-02,2025-09-21,2025-Q3,true,true
O00165,A0005,R020,Inbound,Closed Lost,307900.0,2024-09-09,2025-02-02,2025-Q1,false,true
O00166,A0369,R008,Outbound,Proposal,8000.0,2025-11-26,,2025-Q4,,false
O00167,A0112,R008,Event,Closed Won,4200.0,2025-10-23,2025-12-14,2025-Q4,true,true
O00168,A0552,R006,Event,Closed Lost,63100.0,2024-09-26,2024-11-19,2024-Q4,false,true
O00169,A0032,R022,Inbound,Closed Won,14500.0,2025-08-15,2025-09-23,2025-Q3,true,true
O00170,A0267,R021,Outbound,Closed Won,12800.0,2025-07-06,2025-08-19,2025-Q3,true,true
O00171,A0298,R008,Outbound,Closed Lost,10700.0,2025-04-20,2025-06-05,2025-Q2,false,true
O00172,A0245,R019,Outbound,Qualification,64900.0,2025-12-01,,2025-Q4,,false
O00173,A0150,R018,Inbound,Closed Lost,6300.0,2025-01-02,2025-01-18,2025-Q1,false,true
O00174,A0379,R009,Outbound,Closed Lost,6100.0,2024-02-13,2024-04-09,2024-Q2,false,true
O00175,A0481,R018,Partner,Closed Lost,17700.0,2024-02-17,2024-03-04,2024-Q1,false,true
O00176,A0534,R023,Outbound,Closed Lost,53900.0,2024-10-07,2024-12-24,2024-Q4,false,true
O00177,A0388,R012,Inbound,Closed Won,16500.0,2025-08-24,2025-10-18,2025-Q4,true,true
O00178,A0229,R016,Event,Closed Lost,68700.0,2025-02-19,2025-05-20,2025-Q2,false,true
O00179,A0007,R021,Partner,Closed Won,5500.0,2024-05-22,2024-07-03,2024-Q3,true,true
O00180,A0217,R008,Inbound,Closed Lost,8400.0,2024-07-10,2024-08-03,2024-Q3,false,true
O00181,A0236,R015,Outbound,Closed Lost,4700.0,2024-12-04,2025-02-02,2025-Q1,false,true
O00182,A0166,R020,Inbound,Closed Lost,93800.0,2024-01-23,2024-06-23,2024-Q2,false,true
O00183,A0525,R002,Inbound,Closed Won,3800.0,2025-08-09,2025-09-01,2025-Q3,true,true
O00184,A0416,R022,Partner,Closed Lost,3300.0,2025-07-31,2025-09-23,2025-Q3,false,true
O00185,A0291,R005,Outbound,Closed Lost,12100.0,2024-08-09,2024-09-20,2024-Q3,false,true
O00186,A0225,R020,Inbound,Proposal,334300.0,2025-09-07,,2025-Q3,,false
O00187,A0351,R014,Outbound,Prospecting,22300.0,2025-09-02,,2025-Q3,,false
O00188,A0517,R023,Referral,Closed Won,55500.0,2025-03-05,2025-05-08,2025-Q2,true,true
O00189,A0040,R021,Referral,Closed Lost,4400.0,2025-05-30,2025-06-20,2025-Q2,false,true
O00190,A0553,R017,Inbound,Qualification,247100.0,2025-11-25,,2025-Q4,,false
O00191,A0494,R013,Event,Closed Lost,67900.0,2024-12-24,2025-04-23,2025-Q2,false,true
O00192,A0590,R005,Referral,Closed Lost,6800.0,2025-03-11,2025-04-02,2025-Q2,false,true
O00193,A0086,R011,Partner,Closed Won,9100.0,2025-09-04,2025-10-22,2025-Q4,true,true
O00194,A0008,R019,Inbound,Closed Lost,50200.0,2025-06-19,2025-08-18,2025-Q3,false,true
O00195,A0324,R020,Inbound,Closed Lost,129500.0,2025-01-05,2025-05-02,2025-Q2,false,true
O00196,A0549,R015,Outbound,Closed Lost,12200.0,2025-08-01,2025-09-07,2025-Q3,false,true
O00197,A0209,R015,Outbound,Closed Lost,10200.0,2025-07-19,2025-09-06,2025-Q3,false,true
O00198,A0260,R011,Inbound,Closed Lost,14600.0,2025-08-14,2025-09-19,2025-Q3,false,true
O00199,A0122,R009,Outbound,Closed Won,17200.0,2025-04-02,2025-05-30,2025-Q2,true,true
O00200,A0347,R021,Outbound,Closed Won,13300.0,2025-09-20,2025-11-17,2025-Q4,true,true
O00201,A0006,R003,Inbound,Closed Lost,75400.0,2024-05-28,2024-09-10,2024-Q3,false,true
O00202,A0228,R012,Referral,Closed Lost,3600.0,2024-03-22,2024-05-13,2024-Q2,false,true
O00203,A0534,R007,Partner,Closed Lost,76600.0,2025-09-03,2025-10-25,2025-Q4,false,true
O00204,A0450,R001,Outbound,Closed Won,35700.0,2024-07-25,2024-11-13,2024-Q4,true,true
O00205,A0529,R017,Referral,Closed Lost,295700.0,2025-09-21,2026-02-01,2026-Q1,false,true
O00206,A0089,R020,Inbound,Closed Lost,294300.0,2025-02-13,2025-08-12,2025-Q3,false,true
O00207,A0016,R005,Referral,Closed Lost,7300.0,2024-04-02,2024-05-21,2024-Q2,false,true
O00208,A0357,R010,Referral,Closed Won,55600.0,2024-10-10,2024-12-22,2024-Q4,true,true
O00209,A0589,R002,Inbound,Closed Won,9100.0,2024-09-24,2024-10-19,2024-Q4,true,true
O00210,A0302,R012,Event,Closed Lost,17400.0,2024-04-29,2024-06-14,2024-Q2,false,true
O00211,A0589,R011,Partner,Closed Lost,11400.0,2025-03-29,2025-05-06,2025-Q2,false,true
O00212,A0470,R024,Inbound,Closed Lost,15900.0,2025-04-16,2025-06-06,2025-Q2,false,true
O00213,A0392,R024,Outbound,Closed Lost,13500.0,2024-08-13,2024-10-09,2024-Q4,false,true
O00214,A0362,R016,Inbound,Closed Lost,61500.0,2025-07-02,2025-08-17,2025-Q3,false,true
O00215,A0409,R024,Inbound,Closed Won,11300.0,2024-12-16,2025-01-03,2025-Q1,true,true
O00216,A0224,R019,Referral,Closed Lost,76700.0,2024-10-02,2024-12-09,2024-Q4,false,true
O00217,A0511,R009,Inbound,Closed Won,16100.0,2024-08-28,2024-09-26,2024-Q3,true,true
O00218,A0256,R019,Inbound,Closed Won,66300.0,2024-12-30,2025-03-04,2025-Q1,true,true
O00219,A0505,R022,Outbound,Closed Lost,17400.0,2024-01-07,2024-02-24,2024-Q1,false,true
O00220,A0323,R018,Referral,Closed Lost,10400.0,2025-08-11,2025-09-11,2025-Q3,false,true
O00221,A0287,R013,Outbound,Closed Lost,26000.0,2024-08-15,2024-12-11,2024-Q4,false,true
O00222,A0554,R001,Inbound,Closed Lost,42400.0,2025-05-29,2025-08-26,2025-Q3,false,true
O00223,A0124,R016,Inbound,Closed Won,60700.0,2025-04-16,2025-07-10,2025-Q3,true,true
O00224,A0595,R017,Outbound,Closed Lost,276100.0,2024-11-29,2025-05-30,2025-Q2,false,true
O00225,A0243,R011,Outbound,Closed Won,8100.0,2025-04-27,2025-06-19,2025-Q2,true,true
O00226,A0430,R010,Inbound,Closed Won,35300.0,2025-01-08,2025-04-14,2025-Q2,true,true
O00227,A0590,R024,Outbound,Closed Lost,13800.0,2024-08-22,2024-09-11,2024-Q3,false,true
O00228,A0391,R006,Outbound,Closed Won,47300.0,2024-05-29,2024-08-01,2024-Q3,true,true
O00229,A0138,R023,Inbound,Closed Lost,62700.0,2025-06-13,2025-10-04,2025-Q4,false,true
O00230,A0576,R017,Event,Closed Won,301000.0,2025-02-11,2025-06-06,2025-Q2,true,true
O00231,A0488,R023,Outbound,Closed Won,64200.0,2024-04-08,2024-07-19,2024-Q3,true,true
O00232,A0571,R011,Partner,Closed Lost,9200.0,2024-12-18,2025-01-02,2025-Q1,false,true
O00233,A0204,R017,Event,Closed Lost,184000.0,2024-10-18,2025-04-16,2025-Q2,false,true
O00234,A0458,R017,Event,Closed Lost,228400.0,2025-01-25,2025-07-07,2025-Q3,false,true
O00235,A0346,R015,Inbound,Closed Lost,11600.0,2025-10-08,2025-11-30,2025-Q4,false,true
O00236,A0166,R020,Inbound,Closed Lost,181400.0,2024-08-21,2025-02-07,2025-Q1,false,true
O00237,A0405,R011,Outbound,Closed Lost,14200.0,2025-03-31,2025-05-07,2025-Q2,false,true
O00238,A0172,R004,Referral,Closed Lost,63100.0,2024-01-24,2024-03-25,2024-Q1,false,true
O00239,A0082,R009,Event,Closed Won,4500.0,2024-06-19,2024-07-28,2024-Q3,true,true
O00240,A0562,R001,Inbound,Closed Lost,50500.0,2024-01-27,2024-05-01,2024-Q2,false,true
O00241,A0160,R003,Inbound,Proposal,37200.0,2025-11-01,,2025-Q4,,false
O00242,A0175,R001,Outbound,Closed Lost,71300.0,2024-02-05,2024-05-05,2024-Q2,false,true
O00243,A0554,R007,Outbound,Closed Lost,26400.0,2025-07-15,2025-10-24,2025-Q4,false,true
O00244,A0468,R023,Referral,Closed Lost,45000.0,2025-10-13,2026-02-07,2026-Q1,false,true
O00245,A0494,R016,Inbound,Closed Lost,45400.0,2024-08-20,2024-10-15,2024-Q4,false,true
O00246,A0311,R017,Outbound,Closed Lost,340900.0,2024-01-01,2024-08-11,2024-Q3,false,true
O00247,A0481,R021,Outbound,Closed Lost,16800.0,2024-01-09,2024-03-07,2024-Q1,false,true
O00248,A0010,R015,Outbound,Closed Won,6500.0,2024-10-26,2024-12-17,2024-Q4,true,true
O00249,A0422,R021,Partner,Closed Lost,6700.0,2025-03-23,2025-05-01,2025-Q2,false,true
O00250,A0388,R009,Event,Closed Won,9300.0,2024-09-26,2024-10-15,2024-Q4,true,true
O00251,A0279,R011,Event,Closed Lost,15100.0,2025-10-26,2025-12-13,2025-Q4,false,true
O00252,A0187,R008,Inbound,Closed Lost,12600.0,2024-10-23,2024-11-13,2024-Q4,false,true
O00253,A0504,R006,Inbound,Closed Lost,27400.0,2024-11-24,2025-01-10,2025-Q1,false,true
O00254,A0105,R007,Inbound,Closed Lost,62300.0,2024-10-02,2024-12-02,2024-Q4,false,true
O00255,A0155,R001,Event,Closed Lost,39200.0,2025-05-20,2025-07-31,2025-Q3,false,true
O00256,A0381,R018,Inbound,Closed Lost,4200.0,2024-02-02,2024-03-08,2024-Q1,false,true
O00257,A0273,R015,Event,Closed Won,10100.0,2024-03-14,2024-05-01,2024-Q2,true,true
O00258,A0391,R001,Inbound,Closed Lost,41900.0,2024-05-04,2024-07-19,2024-Q3,false,true
O00259,A0035,R017,Outbound,Closed Lost,246800.0,2025-04-16,2025-08-08,2025-Q3,false,true
O00260,A0320,R012,Outbound,Closed Lost,13900.0,2024-06-11,2024-08-04,2024-Q3,false,true
O00261,A0126,R020,Event,Closed Lost,143600.0,2025-05-07,2025-10-20,2025-Q4,false,true
O00262,A0224,R003,Inbound,Closed Won,38100.0,2024-08-29,2024-12-07,2024-Q4,true,true
O00263,A0123,R015,Partner,Closed Lost,17500.0,2024-09-05,2024-09-19,2024-Q3,false,true
O00264,A0159,R012,Outbound,Closed Won,5400.0,2024-04-01,2024-04-30,2024-Q2,true,true
O00265,A0062,R002,Inbound,Closed Lost,5300.0,2024-12-30,2025-02-23,2025-Q1,false,true
O00266,A0500,R006,Event,Closed Lost,66900.0,2024-11-20,2025-03-16,2025-Q1,false,true
O00267,A0450,R006,Event,Closed Won,40200.0,2024-01-22,2024-04-24,2024-Q2,true,true
